title,func,topic,url,package
Missing value column filter,step_filter_missing,<a href='https://recipes.tidymodels.org/reference/step_filter_missing.html' target='_blank'><tt>step_filter_missing</tt></a>,https://recipes.tidymodels.org/reference/step_filter_missing.html,recipes
Monotone splines,step_spline_monotone,<a href='https://recipes.tidymodels.org/reference/step_spline_monotone.html' target='_blank'><tt>step_spline_monotone</tt></a>,https://recipes.tidymodels.org/reference/step_spline_monotone.html,recipes
Moving window functions,step_window,<a href='https://recipes.tidymodels.org/reference/step_window.html' target='_blank'><tt>step_window</tt></a>,https://recipes.tidymodels.org/reference/step_window.html,recipes
Mutate multiple columns using dplyr,step_mutate_at,<a href='https://recipes.tidymodels.org/reference/step_mutate_at.html' target='_blank'><tt>step_mutate_at</tt></a>,https://recipes.tidymodels.org/reference/step_mutate_at.html,recipes
Natural spline basis functions,step_ns,<a href='https://recipes.tidymodels.org/reference/step_ns.html' target='_blank'><tt>step_ns</tt></a>,https://recipes.tidymodels.org/reference/step_ns.html,recipes
Natural splines,step_spline_natural,<a href='https://recipes.tidymodels.org/reference/step_spline_natural.html' target='_blank'><tt>step_spline_natural</tt></a>,https://recipes.tidymodels.org/reference/step_spline_natural.html,recipes
Near-zero variance filter,step_nzv,<a href='https://recipes.tidymodels.org/reference/step_nzv.html' target='_blank'><tt>step_nzv</tt></a>,https://recipes.tidymodels.org/reference/step_nzv.html,recipes
Neighborhood Cleaning Rule,step_ncl,<a href='https://themis.tidymodels.org/reference/step_ncl.html' target='_blank'><tt>step_ncl</tt></a>,https://themis.tidymodels.org/reference/step_ncl.html,themis
Non-negative matrix factorization signal extraction with lasso penalization,step_nnmf_sparse,<a href='https://recipes.tidymodels.org/reference/step_nnmf_sparse.html' target='_blank'><tt>step_nnmf_sparse</tt></a>,https://recipes.tidymodels.org/reference/step_nnmf_sparse.html,recipes
Non-negative splines,step_spline_nonnegative,<a href='https://recipes.tidymodels.org/reference/step_spline_nonnegative.html' target='_blank'><tt>step_spline_nonnegative</tt></a>,https://recipes.tidymodels.org/reference/step_spline_nonnegative.html,recipes
Normalization of Character Variables,step_text_normalization,<a href='https://textrecipes.tidymodels.org/reference/step_text_normalization.html' target='_blank'><tt>step_text_normalization</tt></a>,https://textrecipes.tidymodels.org/reference/step_text_normalization.html,textrecipes
Normalized Life Curve Vectorization of Persistent Homology,step_vpd_normalized_life_curve,<a href='https://github.com/tdaverse/tdarec' target='_blank'><tt>step_vpd_normalized_life_curve</tt></a>,https://github.com/tdaverse/tdarec,tdarec
One-Sided Selection,step_oss,<a href='https://themis.tidymodels.org/reference/step_oss.html' target='_blank'><tt>step_oss</tt></a>,https://themis.tidymodels.org/reference/step_oss.html,themis
Optimal Binning and WoE Transformation Step,step_obwoe,<a href='https://evandeilton.github.io/OptimalBinningWoE/reference/step_obwoe.html' target='_blank'><tt>step_obwoe</tt></a>,https://evandeilton.github.io/OptimalBinningWoE/reference/step_obwoe.html,OptimalBinningWoE
